type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,optimized_task_config_14,71,9.315277777777776,18.318181818181817,11.5405,11.693398692810458,1,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2,portion_rentmoney,[1.0],False
mean_wait_turn,optimized_task_config_14,71,3.533333333333333,3.090909090909091,2.9,3.313725490196078,1,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2,portion_rentmoney,[1.0],False
mean_idle_wait_turn,optimized_task_config_14,71,1.7666666666666666,1.6363636363636365,1.9,1.7647058823529411,1,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2,portion_rentmoney,[1.0],False
var_mean_house_area,optimized_task_config_14,71,,,,174.5715002952924,1,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2,portion_rentmoney,[1.0],False
Rop,optimized_task_config_14,71,,,,239.0,1,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2,portion_rentmoney,[1.0],False
mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,72,11.369880952380951,25.722727272727276,8.41875,13.989676870748298,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,base,house_type,2,house_type,,
mean_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,72,2.2142857142857144,1.9090909090909087,2.1,2.122448979591837,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,base,house_type,2,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,72,1.8214285714285716,1.181818181818182,2.1,1.7346938775510203,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,base,house_type,2,house_type,,
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,72,,,,207.7953100004628,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,base,house_type,2,house_type,,
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,72,,,,276.0,3,7,6,1,8,1,10,2,kwaitlist,1.2,ver2,base,house_type,2,house_type,,
